image,arith_mean,arith_sort,arith_skew,arith_kurt,geom_mean,geom_sort,geom_skew,geom_kurt,p=5,p=10,p=16,p=25,p=50,p=75,p=84,p=90,p=95,prc_silt,prc_sand,prc_gravel,prc_cobble,0.286479,11.188921,22.091363,32.993805,43.896247,54.798690,65.701132,76.603574,87.506016,98.408458,109.310900,120.213342,131.115784,142.018227,152.920669,163.823111,174.725553,185.627995,196.530437,207.432879

bed1.JPG,55.183388,40.284620,0.012068,0.042629,34.705199,90.607274,-0.278943,1.085065,3.879877,7.473344,11.763913,17.998060,40.552093,68.576257,87.623082,106.011628,133.940586,NaN,0.000000,61.907342,38.092658,0.000000,0.151700,0.157396,0.116427,0.107435,0.086116,0.114011,0.064163,0.042336,0.039301,0.030286,0.021205,0.016186,0.013290,0.011355,0.009592,0.007508,0.005469,0.003807,0.002418
bed10.JPG,57.354145,45.367698,0.012939,0.044103,32.816135,73.150360,-0.226945,0.991498,3.225984,6.165500,9.692919,15.495748,37.166465,73.983524,98.097169,118.815474,141.628149,NaN,0.000000,62.933504,37.066496,0.000000,0.220584,0.170221,0.129399,0.109132,0.080760,0.058439,0.048854,0.041698,0.036326,0.032795,0.024242,0.015622,0.009964,0.006657,0.004728,0.003582,0.002908,0.002314,0.001777
bed11.JPG,37.626182,26.958734,0.013086,0.046690,23.603691,111.289354,-0.198141,1.125996,2.930009,5.573579,8.745214,13.448403,25.520423,46.344680,58.922532,73.932797,87.728976,NaN,0.000000,84.105927,15.894073,0.000000,0.158943,0.160810,0.179921,0.117731,0.091862,0.084721,0.047072,0.032513,0.034607,0.033030,0.021690,0.011871,0.007561,0.005734,0.004482,0.003242,0.002163,0.001342,0.000707
bed12.JPG,28.918443,23.042734,0.021416,0.089086,16.170079,108.823334,-0.320908,1.172317,1.794878,3.303284,5.113372,7.828504,20.212238,28.230787,40.908606,53.609749,70.377507,NaN,0.000000,90.805641,9.194359,0.000000,0.303814,0.144299,0.298200,0.075548,0.041994,0.044202,0.033025,0.013787,0.009506,0.008611,0.007769,0.006646,0.004956,0.003208,0.001864,0.001048,0.000715,0.000483,0.000326
bed13.JPG,26.537113,22.537264,0.016713,0.061429,14.278122,94.156098,-0.193672,0.929391,1.493215,2.699965,4.148065,6.320215,15.961553,33.823459,43.963529,52.249317,67.007018,NaN,0.000000,93.072169,6.927831,0.000000,0.268348,0.180209,0.122406,0.089999,0.077158,0.066673,0.047333,0.047147,0.031450,0.016414,0.009498,0.007352,0.006661,0.006275,0.005704,0.004757,0.004366,0.004161,0.004090
bed14.JPG,46.460257,34.900577,0.014847,0.054237,27.868931,95.538803,-0.208104,1.090866,3.210050,6.133665,9.642003,14.753876,30.748328,56.139421,73.008287,90.526064,112.529891,NaN,0.000000,77.432541,22.567459,0.000000,0.203355,0.215243,0.144887,0.130507,0.080332,0.060371,0.045790,0.033127,0.027845,0.019434,0.012957,0.009294,0.006452,0.004136,0.002451,0.001371,0.000988,0.000774,0.000684
bed15.JPG,73.840189,47.541898,0.005382,0.025830,48.029852,86.274134,-0.393752,1.032399,4.885763,9.485120,15.677094,26.632613,59.776437,103.700557,118.232849,130.845625,150.002790,NaN,0.000000,49.983305,50.016695,0.000000,0.129264,0.104418,0.075647,0.118605,0.071900,0.053904,0.061495,0.079142,0.079793,0.071613,0.055325,0.035886,0.022007,0.013803,0.009110,0.006523,0.004961,0.003766,0.002838
bed16.JPG,62.214740,44.741597,0.014710,0.054635,40.150322,98.355441,-0.242202,1.145361,5.178741,10.071026,15.463070,22.700445,45.337457,76.324912,92.323917,108.434954,153.459077,NaN,0.000000,55.290483,44.709517,0.000000,0.132537,0.161266,0.158531,0.100570,0.112244,0.098270,0.071118,0.056243,0.027163,0.013214,0.010432,0.010369,0.010736,0.010188,0.008705,0.006825,0.005162,0.003792,0.002635
bed17.JPG,39.127730,30.938310,0.021500,0.103704,20.353303,93.673329,-0.297459,0.949686,2.106853,3.927229,6.111680,9.388356,24.862354,46.989194,55.488356,66.514550,87.968511,NaN,0.000000,82.065065,17.934935,0.000000,0.356196,0.160661,0.126582,0.177212,0.075388,0.037080,0.022180,0.011652,0.008947,0.007135,0.004806,0.003071,0.002125,0.001616,0.001358,0.001277,0.001116,0.000914,0.000683
bed18.JPG,35.775204,25.752539,0.014713,0.059685,21.424415,105.688020,-0.324100,1.041351,2.374722,4.462969,6.968865,11.052214,26.107848,44.323456,54.049758,63.273122,80.954526,NaN,0.000000,85.100218,14.899782,0.000000,0.219454,0.174954,0.129207,0.148059,0.097345,0.081983,0.056185,0.028462,0.017917,0.013705,0.010214,0.006975,0.004946,0.003598,0.002535,0.001736,0.001295,0.000898,0.000531
bed19.JPG,85.864104,56.938660,0.010478,0.037321,59.817887,96.646625,-0.232373,1.208657,7.847985,15.467705,25.079847,36.542820,65.310071,109.894826,130.673697,159.260840,201.816183,NaN,0.000000,41.862005,58.137995,0.000000,0.093520,0.088284,0.121019,0.115797,0.136200,0.075659,0.065004,0.072703,0.063068,0.039937,0.024444,0.018173,0.016517,0.015943,0.014982,0.013320,0.010808,0.008441,0.006181
bed2.JPG,54.040176,39.633414,0.013075,0.048706,31.378165,85.727558,-0.314149,1.102540,3.262104,6.237754,9.808534,17.258210,38.415990,67.630586,81.991062,102.215009,128.582278,NaN,0.000000,68.041690,31.958310,0.000000,0.199799,0.117479,0.162364,0.098501,0.102274,0.104853,0.062813,0.036230,0.027420,0.023883,0.018218,0.013132,0.009621,0.007195,0.005483,0.004201,0.003045,0.002122,0.001367
bed3.JPG,66.152992,46.178109,0.013802,0.052153,42.511556,95.641422,-0.321844,1.185932,5.091982,9.897529,15.642051,24.136945,51.033780,79.105312,96.243092,118.322250,157.994786,NaN,0.000000,55.428290,44.571710,0.000000,0.147155,0.149842,0.125502,0.131783,0.138288,0.100247,0.060137,0.039752,0.021104,0.017346,0.016608,0.014840,0.011862,0.008767,0.006157,0.004126,0.002940,0.002082,0.001462
bed5.JPG,61.729713,51.357161,0.013725,0.046072,33.835528,64.298056,-0.196104,0.940311,3.156673,6.026909,9.471191,14.732004,37.477389,80.854362,109.130201,128.013338,156.954532,NaN,0.000000,64.475943,35.524057,0.000000,0.246380,0.169459,0.133682,0.095239,0.072381,0.047179,0.040765,0.050184,0.043796,0.030341,0.019579,0.013195,0.009366,0.007190,0.006064,0.005423,0.004366,0.003269,0.002142
bed6.JPG,71.591263,54.901044,0.013259,0.042468,43.762161,79.680512,-0.209928,1.217737,4.898006,9.509587,15.163902,25.093209,48.686990,85.503772,113.520001,153.074471,187.074522,NaN,0.000000,57.767148,42.232852,0.000000,0.153346,0.128196,0.161714,0.134416,0.093334,0.077685,0.051863,0.039299,0.024120,0.019637,0.020416,0.021762,0.020609,0.017426,0.013476,0.009527,0.006452,0.004193,0.002528
bed7.JPG,60.619082,41.600451,0.015585,0.057777,40.470230,112.520838,-0.252699,1.240029,6.072615,11.858768,17.157472,23.654982,45.631203,67.035685,84.662644,112.907898,141.951242,NaN,0.000000,63.984934,36.015066,0.000000,0.122216,0.195905,0.145572,0.176155,0.153093,0.048726,0.030494,0.028913,0.028079,0.020622,0.013865,0.010841,0.009152,0.007028,0.004539,0.002304,0.001340,0.000743,0.000413
bed8.JPG,19.853548,15.928751,0.032545,0.185746,10.644835,141.994768,-0.302854,1.032348,1.356842,2.427219,3.711671,5.638349,12.672195,21.291073,25.644573,30.153788,38.553665,NaN,0.000000,97.700215,2.299785,0.000000,0.359913,0.230588,0.219650,0.102520,0.038622,0.014042,0.007175,0.004492,0.003212,0.003173,0.003427,0.003226,0.002723,0.002200,0.001712,0.001237,0.000915,0.000676,0.000497
bed9.JPG,21.253371,22.209973,0.032114,0.148568,9.262434,112.551985,-0.078540,1.130812,1.184339,2.082218,3.159671,4.775852,9.845820,20.067105,25.543570,35.738065,62.178962,NaN,0.000000,94.771715,5.228285,0.000000,0.467968,0.232912,0.138828,0.053687,0.030233,0.016134,0.007956,0.006266,0.007075,0.007083,0.006165,0.005129,0.004505,0.004148,0.003748,0.003123,0.002329,0.001651,0.001059
