image,arith_mean,arith_sort,arith_skew,arith_kurt,geom_mean,geom_sort,geom_skew,geom_kurt,p=5,p=10,p=16,p=25,p=50,p=75,p=84,p=90,p=95,prc_silt,prc_sand,prc_gravel,prc_cobble,13.444948,19.928689,26.412430,32.896172,39.379913,45.863655,52.347396,58.831138,65.314879,71.798620,78.282362,84.766103,91.249845,97.733586,104.217327,110.701069,117.184810,123.668552,130.152293,136.636034,143.119776,149.603517,156.087259

PICT0137.jpg,47.386727,27.977158,0.012061,0.042513,36.825257,141.709979,-0.076844,1.083111,9.156441,15.029670,18.606648,23.681813,36.686965,58.480858,73.157262,84.418543,99.835100,NaN,NaN,NaN,NaN,0.073418,0.108759,0.117171,0.126596,0.126671,0.093461,0.060082,0.046351,0.040900,0.038871,0.036869,0.032604,0.025559,0.018517,0.012884,0.009708,0.007660,0.006089,0.005109,0.004263,0.003544,0.002820,0.002095
PICT0138.jpg,50.912459,29.322858,0.009621,0.035171,39.018084,135.375365,-0.150934,1.004525,10.108218,15.312945,18.659116,24.614478,41.099825,64.280876,77.458088,90.469123,106.289941,NaN,NaN,NaN,NaN,0.066505,0.116261,0.093034,0.090648,0.109107,0.092168,0.069034,0.065199,0.057167,0.047170,0.038623,0.031743,0.026542,0.022614,0.019245,0.015465,0.011935,0.008707,0.006305,0.004520,0.003314,0.002586,0.002109
PICT0140.jpg,41.650881,25.937378,0.014204,0.052158,30.948425,144.023051,-0.117446,1.083430,6.305071,12.610143,15.334325,18.519869,31.419877,50.882862,61.524278,73.217796,91.209804,NaN,NaN,NaN,NaN,0.106621,0.183184,0.119217,0.117806,0.084415,0.081241,0.074306,0.055922,0.041636,0.030798,0.022206,0.017952,0.014794,0.011685,0.008795,0.006934,0.005708,0.004668,0.003675,0.002865,0.002227,0.001818,0.001530
PICT0141.jpg,32.735680,17.230244,0.008584,0.031437,26.850700,169.292670,-0.088454,0.918648,9.479958,12.047112,14.170636,17.230289,27.651893,40.857247,49.402921,56.651233,65.662412,NaN,NaN,NaN,NaN,0.022743,0.049391,0.099679,0.104418,0.081766,0.077412,0.091891,0.087639,0.067655,0.049417,0.040328,0.037515,0.034713,0.030927,0.026549,0.022189,0.018521,0.015184,0.012376,0.009992,0.007978,0.006480,0.005238
PICT0142.jpg,43.915965,27.983156,0.019827,0.083276,32.084478,145.528097,-0.131701,1.333953,5.105622,10.211245,16.337991,20.383085,32.085284,49.834245,63.005776,74.483471,93.706189,NaN,NaN,NaN,NaN,0.169461,0.220067,0.145957,0.136183,0.090401,0.055087,0.052876,0.037637,0.023650,0.017630,0.012997,0.008482,0.005585,0.004286,0.003920,0.003642,0.003009,0.002336,0.001885,0.001549,0.001323,0.001116,0.000919
PICT0143.jpg,35.597489,19.105821,0.012518,0.045359,28.722589,172.500828,-0.020260,1.061973,10.474414,13.685001,16.262491,19.681301,28.764474,41.754303,50.655576,59.933368,73.543282,NaN,NaN,NaN,NaN,0.036962,0.071325,0.115792,0.134244,0.123520,0.102954,0.091229,0.073325,0.051571,0.040871,0.032957,0.025717,0.020279,0.016362,0.013521,0.011591,0.009741,0.007988,0.006492,0.005106,0.003818,0.002776,0.001859
PICT0144.jpg,67.644715,37.617905,0.012603,0.044720,54.015731,139.253238,-0.041606,1.175396,17.801223,23.424605,29.920295,38.056544,54.443136,79.233168,96.750181,116.925775,145.825416,NaN,NaN,NaN,NaN,0.045579,0.074806,0.079299,0.107828,0.142307,0.121115,0.089822,0.069768,0.053982,0.041322,0.032008,0.025313,0.020043,0.016411,0.014193,0.013010,0.011589,0.010136,0.008813,0.007550,0.006342,0.005051,0.003714
PICT0145.jpg,68.363427,40.121550,0.011796,0.042313,52.476110,129.061935,-0.101187,1.142058,11.946876,20.961452,26.996088,35.007993,52.812326,85.933353,101.355840,119.432750,145.888567,NaN,NaN,NaN,NaN,0.078807,0.091236,0.104788,0.136516,0.126053,0.082546,0.056366,0.055291,0.058832,0.049895,0.035133,0.025471,0.020309,0.016936,0.013967,0.010708,0.008867,0.007508,0.006425,0.005235,0.003942,0.002978,0.002190
PICT0146.jpg,61.712490,34.175761,0.013557,0.051517,48.549956,145.879036,-0.134455,1.207455,14.299167,21.126646,26.737417,34.039898,50.841357,72.056448,84.184074,102.430611,130.268528,NaN,NaN,NaN,NaN,0.060507,0.086921,0.103691,0.142426,0.107944,0.105956,0.102864,0.078165,0.054283,0.033347,0.021872,0.017198,0.015283,0.014103,0.012757,0.010460,0.008195,0.006187,0.005079,0.004164,0.003434,0.002842,0.002324
